company_name,title,location,job_types,tags,is_remote
flatexDEGIRO AG,Werkstudent/in HR Operations (m/w/d),Frankfurt,"['Working student', 'hilfstätigkeit / student']",['Administration'],False
univativ GmbH,Werkstudent (m/w/d) Support,Hanover,[],['IT'],False
Anear,Mobile Developer (Founding Team Option),Munich,['berufserfahren'],['Software Development'],False
Competence on Top GmbH,Finance & HR Manager*in (m/w/d),Augsburg,[],['Finance'],False
Grashoff & Schumm MC GmbH & Co. KG,Studentische Hilfskraft (w/m/d) im Recruiting,Bielefeld,"['Working student', 'hilfstätigkeit / student']",['Recruitment and Selection'],False
Cyberguard Connect,Teamleitung OT-Security (m/w/d),Berlin,['berufserfahren'],"['Remote', 'IT Security']",True
univativ GmbH,Projektingenieur (m/w/d) für Projektsteuerung im Bereich Bahn Infrastruktur,Munich,[],['Engineering'],False
hallo theo,Werkstudent:in Finance (m/w/d),Berlin,"['Side', 'hilfstätigkeit / student']",['Finance'],False
Bragi,Lead QA Engineer,Munich,['professional / experienced'],"['Remote', 'Engineering']",True
bits&birds GmbH,Brand Manager (m/w/d),Frankfurt,[],['Marketing and Communication'],False
Peter Park System GmbH,Teamlead Sales (w/m/d),Munich,[],['IT'],False
univativ GmbH,Strategischer Projektleiter (m/w/d) Gesamtfahrzeug,Affalterbach,[],['Engineering'],False
SolarEdge,Technical Account Manager - DACH,Munich,['Full-time'],['Remote'],True
AchtBerlin,Werkstudent Social Media Marketing (w/m/d),Berlin,"['Working student', 'hilfstätigkeit / student']",['Social Media Manager'],False
PURE ONE,Pure One Sucht Einen (Junior) Influencer-Marketing Manager:in,Berlin,['berufserfahren'],['Marketing and Communication'],False
ganss personal GmbH,244 IT-Systemadministrator (m/w/d) 80% Homeoffice-Remote in Kiel,Kiel,[],['Information Systems'],False
univativ GmbH,Product Support Specialist (m/w/d) Aftersales,Affalterbach,[],['Engineering'],False
CUJU,IOS Engineer Swift & Kotlin Multiplatform (m/w/d) 01.02.2026,Munich,[],['Software Development'],False
GFN GmbH,Kundenberatung für Bildungsträger in unserem Trainingscenter in Stuttgart - Vollzeit (m/w/x) ID5,Stuttgart,[],['Administration'],False
Peter Park System GmbH,(Junior) Customer Success Manager:in (m/w/d),Munich,['teamleitung'],['IT'],False
Mytheresa,IT Application Administrator (f/m/d),Munich,['berufserfahren'],['Applications Administration'],False
GFN GmbH,Assistenz in der Administration und Kundenbetreuung in unserem Trainingscenter in Stuttgart - Vollzeit (m/w/x) ID5,Stuttgart,['berufseinstieg'],['Administration'],False
SAERTEX GmbH & Co. KG,Werkstudent Corporate Strategy (m/w/d),Saerbeck,['Working student'],['Business Analyst'],False
Elb-Connect,Dein Einstieg als Kundenberater (m/w/d),Magdeburg,[],['Marketing and Communication'],False
F.X. Rauch GmbH und Co. KG,Personalsachbearbeiter:in (m/w/d) 20-25 h/Woche,Munich,['berufserfahren'],['Recruitment and Selection'],False
KI group GmbH,Lead Full-Stack Software Engineer,Köln,"['Full-time permanent', 'experienced']","['Information technology', ""bachelor's degree""]",False
ganss personal GmbH,Projektassistenz (m/w/d) 80% Remote in Magdeburg,Magdeburg,[],['Information Systems'],False
Myrga Media Lab GmbH,TV Planner & Manager (all genders) | 30-40 Std/Woche | remote | ab sofort,Karlsruhe,['berufserfahren'],"['Remote', 'Media Planning', 'Purchasing']",True
JobAtlas,Social Media Manager (m/w/d) - Steuerberatungskanzlei,Aurich,[],['Social Media Manager'],False
OPEN Digital Experience,Grafiker*in / Mediengestalter*in (all genders),Berlin,[],"['Remote', 'Graphic Arts and Communication Design']",True
Kaumarie,CRM/E-Commerce Manager (10-15h/Woche in Berlin),Berlin,"['Freelance', 'berufserfahren']","['CRM', 'Direct Marketing']",False
dokSAFE GmbH,Senior Backend Developer (m/w/d),Leipzig,['berufserfahren'],['Software Development'],False
BC Deutschland GmbH,Personalsachbearbeiter (m/w/d),Hamm,['berufserfahren'],['Administration'],False
CognitX AI GmbH,AI / LLM Engineering (Werkstudent),Darmstadt,['professional / experienced'],"['Remote', 'Automation Engineering']",True
WKN Datentechnik GmbH,Prozessmanager (m/w/d) Vollzeitjob als Quereinsteiger,Balve,"['Side', 'berufseinstieg']","['Remote', 'Management', 'Team Leader']",True
Diebold Nixdorf Germany,Servicetechniker im Außendienst (m/w/d) für Banken- und Handelssysteme,Paderborn,['Contract'],"['Remote', 'Engineering']",True
peeps - the social club,IT-Co-Founder/in,Würzburg,['Freelance'],"['Remote', 'Software Development']",True
Whow Games GmbH,Customer Care Specialist (m/w/d) - Gaming Community,Hamburg,[],"['CRM', 'Direct Marketing']",False
PraxisServicePlus GmbH,Customer Onboarding Specialist (m/w/d) für AMANDOmed,Stadtallendorf,[],"['Remote', 'Project Management']",True
altitude,Performance Marketing - Working Student,Berlin,['Working student'],['Online Marketing'],False
EGB Unternehmensberatung GmbH,Werkstudent Unternehmensberatung (m/w/d),Lüdinghausen,['hilfstätigkeit / student'],['Business Consulting'],False
STRIVE Publishing GmbH,Projektmanagement Events & Marketing (m/w/d),Hamburg,['berufseinstieg'],['Marketing and Communication'],False
Key Company Nürnberg,Verkäufer (m/w/d),Nuremberg,[],['Business Consulting'],False
S&F Steuerberatungsgesellschaft mbH,Ausbildung zum Steuerfachangestellten (m/w/d) - Start 2026,Bitburg,['Apprenticeship'],['Finance'],False
TELUS Digital,Personalized Internet Ads Assessor - German (IT),Berlin,['entry'],"['Remote', 'Data Scientist']",True
SONOTEC GmbH,Qualitätsingenieur (m/w/d),Halle (Saale),['berufserfahren'],['Quality Management'],False
projo,Architekt:in | Controller:in für den Bereich Support,Berlin,['berufserfahren'],['Controlling'],False
Wavestone Germany AG,Berater SAP VIM (m/w/d) (Ref.Nr.: 45648),Munich,"['Freelance', 'berufserfahren']","['Remote', 'IT']",True
think about IT GmbH,Mitarbeiter Technical Services (m/w/d),Bochum,[],['IT'],False
think about IT GmbH,Microsoft Azure / Intune Specialist (m/w/d),Bochum,[],['IT'],False
think about IT GmbH,Security Engineer (m/w/d),Bochum,[],['IT'],False
Glow25 (by Primal State Performance GmbH),Influencer & Creator Marketing Manager FRANCE (all genders),Rottendorf,['berufserfahren'],"['Remote', 'Marketing and Communication']",True
Glow25 (by Primal State Performance GmbH),Influencer & Creator Marketing Manager FRANCE (all genders),Rottendorf,['professional / experienced'],"['Remote', 'Marketing and Communication']",True
think about IT GmbH,Working Student Business Development X Controlling (m/w/d),Bochum,['berufserfahren'],['Controlling'],False
Taxtalente.de,"Steuerberater (m/w/d) in Chemnitz, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Chemnitz,[],"['Directors', 'Chief Executives']",False
PERGOLUX,Working Student Office Management,Fulda,['Side'],['HR'],False
Growing Imaginations GmbH,Internship Founders Associate / Entrepreneur-in-Residence / Strategic Projects (all genders) - fully remote,Berlin,"['Internship', 'berufseinstieg']","['Remote', 'Business Development']",True
think about IT GmbH,IT-System Engineer (m/w/d),Bochum,[],['IT'],False
think about IT GmbH,IT Support / IT Administrator - interne IT (m/w/d),Mainz,[],['IT'],False
think about IT GmbH,Service-Desk Dispatching (m/w/d),Bad Soden,[],['IT'],False
Nutrition-Plus Germany e.K.,Influencer Marketing Manager (m/w/d) - Vollzeit/Teilzeit - 100% im Homeoffice,Grafschaft,['berufserfahren'],"['Remote', 'Social Media Manager']",True
Additive Drives GmbH,Marketing Manager (w/m/d) E-Mobilität in Dresden,Dresden,[],['Marketing and Communication'],False
BTB Berlin GmbH,Referent Marketing + Kommunikation (m/w/d),Berlin,"['Contract', 'berufserfahren']",['Marketing and Communication'],False
think about IT GmbH,Senior IT Administrator (m/w/d),Bochum,[],['IT'],False
think about IT GmbH,Service Desk Spezialist - Onsite in Köln (m/w/d),Cologne,[],['IT'],False
Taxtalente.de,"Steuerberater (m/w/d) in Leipzig , auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Leipzig,[],"['Directors', 'Chief Executives']",False
JetztJob,Steuerfachangestellte (m/w/d),Erding,['berufserfahren'],['Finance'],False
Bonial International GmbH,Staff Product Manager - Marketing Tech / User Acquisition (Web) (f/m/x),Berlin,"['Full-time permanent', 'mid']","['Information technology', ""bachelor's degree""]",False
Kapitel 2,Vertriebsmarketingmanager:in,Lübeck,['teamleitung'],['Marketing Manager'],False
INP Deutschland GmbH,Senior Ingenieur Verfahrenstechnik / Rohrleitungsplanung (m/w/d),Römerberg,['berufserfahren'],['Project Management'],False
audibene GmbH,Alternative zum Einzelhandel in Bad Lauchstädt,Bad Lauchstädt,[],['Customer Service'],False
audibene GmbH,Kund:innenberatung Hörgeräte in Bad Lauchstädt,Bad Lauchstädt,[],['Customer Service'],False
audibene GmbH,Quereinstieg Hörakustik in Bad Lauchstädt,Bad Lauchstädt,[],['Customer Service'],False
audibene GmbH,Teamassistenz Hörakustik in Bad Lauchstädt,Bad Lauchstädt,[],['Customer Service'],False
INP Deutschland GmbH,Mitarbeiter Controlling  (m/w/d),Römerberg,['berufserfahren'],['Controlling'],False
Zentso S GmbH,Product Engineer,Berlin,['professional / experienced'],['Software Development'],False
audibene GmbH,Teamassistenz Hörakustik in Kempen,Kempen,[],['Customer Service'],False
audibene GmbH,Quereinstieg Hörakustik in Kempen,Kempen,[],['Customer Service'],False
